Is the system dealing with a lot of Certification errors (Galera)?	Statistics Analysis	Pending		Enabled
Galera cluster stability (cluster_conf_id & cluster_size changed in the last 24 hrs?)	Statistics Analysis	Pending		Enabled
Galera flow control issues?	Statistics Analysis	Pending		Enabled
Tables without PK are bad in Galera, are there any?	Schema Design	Pending		Enabled
Are there any MyiSAM Tables?	Schema Design	Pending		Enabled
Frequent DDLs in TOI?	Statistics Analysis	Pending		Enabled
